sic_combined,sic_name
20,Food products
23,Apparel manufacturing
24,Other manufacturing
42,Freight / transport
48,Communications
49,Electric / gas
50,Wholesale durable
51,Wholesale nondurable
52,Building materials
53,General merchandise
54,Food stores
55,Auto dealers / services
56,Apparel stores
57,Furnishing stores
58,Eating/drinking
59,Other retail
60,Banks / credit
62,Securities brokers
63,Insurance / real estate
70,Accommodation
73,Business services
75,Auto / repair services
80,Health services
87,Engineering services